28934740000114;7898330221614;0;0801025;2027-09-09;16.37420000
28934740000114;7898330221614;8;1070126;2027-12-10;16.37420000
28934740000114;7898330221638;12;1160226;2027-11-06;22.53580000
28934740000114;7898330222123;0;0631125;2027-10-24;9.85800000
28934740000114;7898330222123;69;0951225;2027-12-08;9.85800000
28934740000114;7898330222123;0;2400825;2027-07-17;9.85800000
28934740000114;7898330223069;7;0290126;2027-11-28;16.27790000
28934740000114;7898330223069;0;0501025;2027-08-05;16.27790000
28934740000114;7898330223069;0;1140825;2027-08-05;16.27790000
28934740000114;7898330223113;0;0221025;2027-08-28;21.33000000
28934740000114;7898330223113;0;0650925;2027-08-28;21.33000000
28934740000114;7898330223113;0;1161225;2027-11-20;21.33000000
28934740000114;7898330223113;32;1300326;2028-03-12;21.33000000
28934740000114;7898330223113;0;L0221025;2027-08-01;21.33000000
28934740000114;7898330226589;0;2100925;2027-04-25;18.93000000
28934740000114;7898330226589;13;2110925;2027-04-25;18.93000000
28934740000114;7898623350083;0;0083010425;2026-12-31;9.09000000
28934740000114;7898623350083;0;0083060325;2026-10-19;9.09000000
28934740000114;7898623350083;0;0083090924;2026-08-12;9.09000000
28934740000114;7898623350083;0;0083100624;2026-06-13;9.09000000
28934740000114;7898623350083;0;0083131124;2026-10-19;9.09000000
28934740000114;7898623350083;0;0083171024;2026-10-19;9.09000000
28934740000114;7898623350083;0;0083210524;2026-02-04;9.09000000
28934740000114;7898623350083;0;0083270125;2026-10-19;9.09000000
28934740000114;7898623350083;0;0083300924;2026-08-12;9.09000000
28934740000114;7898623350083;98;25110779;2027-09-18;9.09000000
28934740000114;7898623350083;241;25120957;2027-11-28;9.09000000
28934740000114;7898623350083;0;26020080;2027-11-28;9.09000000
28934740000114;7898623350274;0;0274040425;2026-09-01;4.59000000
28934740000114;7898623350274;0;0274070425;2026-09-29;4.59000000
28934740000114;7898623350274;0;0274071024;2026-03-31;4.59000000
28934740000114;7898623350274;0;0274110225;2026-08-05;4.59000000
28934740000114;7898623350274;0;0274140325;2026-09-05;4.59000000
28934740000114;7898623350274;0;0274240125;2026-07-18;4.59000000
28934740000114;7898623350274;0;0274270824;2026-02-18;4.59000000
28934740000114;7898623350274;0;25060049;2026-11-30;4.59000000
28934740000114;7898623350274;0;25060067;2026-12-31;4.59000000
28934740000114;7898623350274;0;25070263;2027-01-31;4.59000000
28934740000114;7898623350274;0;25070264;2027-01-22;4.59000000
28934740000114;7898623350274;0;25080357;2027-02-28;4.59000000
28934740000114;7898623350274;0;25080368;2027-02-13;4.59000000
28934740000114;7898623350274;0;25080378;2027-02-16;4.59000000
28934740000114;7898623350274;0;25080385;2027-02-28;4.59000000
28934740000114;7898623350274;0;25080387;2027-02-28;4.59000000
28934740000114;7898623350274;0;25080388;2027-02-28;4.59000000
28934740000114;7898623350274;0;25090536;2027-03-12;4.59000000
28934740000114;7898623350274;0;25090537;2027-03-31;4.59000000
28934740000114;7898623350274;0;25100654;2027-04-30;4.59000000
